itemLabel,altLabel_list
Fusafungine,S-314
creatine,Creatine|((amino(Imino)methyl)(methyl)amino)acetic acid|(alpha-Methylguanido)acetic acid|(N-methylcarbamimidamido)acetic acid|(α-methylguanido)acetic acid|alpha-Methylguanidino acetic acid|Creatin|Kreatin|Methylglycocyamine|N-(aminoiminomethyl)-N-methylglycine|N-[(e)-AMINO(imino)methyl]-N-methylglycine|N-amidinosarcosine|N-Amidinosarcosine|N-carbamimidoyl-N-methylglycine|N-Carbamimidoyl-N-methylglycine|N-methyl-N-guanylglycine|N-Methyl-N-guanylglycine
tenofovir alafenamide,TAF|GS 7340|GS-7340|Tenofovir alafenamide
Coagulation Factor XIII A-Subunit (Recombinant),Factor XIII A-Subunit (Recombinant)
Anti-thymocyte Globulin (Equine),eATG|equine ATG|equine thymocyte immune globulin
Technetium Tc-99m sodium pertechnetate,Technetium (99mTc) sodium pertechnetate
L-methionine,"M|Met|Methionine|(2S,3R)-2-ammonio-3-hydroxybutanoate|(2S)-2-amino-4-(methylsulfanyl)butanoic acid|(2S)-2-amino-4-(Methylsulfanyl)butanoic acid|(S)-2-amino-4-(methylthio)butanoic acid|(S)-2-amino-4-(methylthio)butyric acid|(S)-methionine|L-(-)-Methionine|L-(−)-methionine|L-a-Amino-g-methylthiobutyric acid|L-alpha-amino-gamma-Methylmercaptobutyric acid|L-Met|L-Methionin|L-α-amino-γ-methylmercaptobutyric acid"
lifitegrast,compound 1g [PMID: 24900456]|Lifitegrast|SAR 1118|SAR-1118|SAR-1118-023|SAR1118|Xiidra®
acalabrutinib,Acalabrutinib|ACP-196|Example 6 [US20140155385 A1]
Venetoclax,"Venclexta|4-{4-[(4'-chloro-5,5-dimethyl[3,4,5,6-tetrahydro[1,1'-biphenyl]]-2-yl)methyl]piperazin-1-yl}-N-(3-nitro-4-{[(oxan-4-yl)methyl]amino}benzene-1-sulfonyl)-2-[(1H-pyrrolo[2,3-b]pyridin-5-yl)oxy]benzamide|ABT-199|GDC-0199|venetoclax"
abemaciclib,Abemaciclib|CS-1230|HY-16297A|LY 2835219|LY2835219
esatenolol,(-)-Atenolol|(S)-4-(2-Hydroxy-3-((1-methylethyl)amino)propoxy)benzeneacetamide|(S)-Atenolol|2-(p-((2S)-2-Hydroxy-3-(isopropylamino)propoxy)phenyl)acetamide|S-(-)-4-(2-Hydroxy-3-isopropylaminopropoxy)phenylacetamide|S-Atenolol
thyrotropin-releasing hormone,TRH|protirelin|Thyrotropin releasing hormone|TSH-releasing factor|5-oxo-L-prolyl-L-histidyl-L-prolinamide|IPR008857|L-pyroglutamyl-L-histidyl-L-prolineamide|Protirelin|thyroliberin|Thyroliberin|Thyrotropic releasing hormone|Thyrotropic-releasing factor|Thyrotropin-releasing factor|TSH-releasing hormone
rivastigmine,(S)-3-(1-(Dimethylamino)ethyl)phenyl ethylmethylcarbamate|Ena 713 free base|Exelon®|m-((S)-1-(Dimethylamino)ethyl)phenyl ethylmethylcarbamate|Rivastigmine|ENA713
duloxetine,(3S)-N-methyl-3-(1-naphthyloxy)-3-(2-thienyl)propan-1-amine|(S)-duloxetine|Cymbalta®|Duloxetine|LY 248686|LY248686
aprobarbital,"5-(1-Methylethyl)-5-(2-propenyl)-2,4,6(1H,3H,5H)-pyrimidinetrione|5-Allyl-5-isopropylbarbituric acid|5-Allyl-5-isopropylpyrimidine-2,4,6(1H,3H,5H)-trione|5-Isopropyl-5-allylbarbituric acid|Allypropymal|Alurate|Aprobarbital"
(6S)-rotigotine,"(6S)-6-(propyl(2-(2-thienyl)ethyl)amino)-5,6,7,8-tetrahydro-1-naphthalenol|Leganto®|N-0437|Neupro®|Rotigotine"
dexmedetomidine,"(+)-4-((S)-alpha,2,3-trimethylbenzyl)imidazole|(+)-4-((S)-alpha,2,3-Trimethylbenzyl)imidazole|(+)-medetomidine|(S)-medetomidine|Dexmedetomidin|Dexmedetomidina|Dexmedetomidine|Dexmédétomidine|Dexmedetomidinum|MPV 1440|Precedex®"
flutamide,"4'-nitro-3'-trifluoromethylisobutyranilide|4'-Nitro-3'-trifluoromethylisobutyranilide|alpha,alpha,alpha-trifluoro-2-methyl-4'-nitro-m-propionotoluidide|alpha,alpha,alpha-Trifluoro-2-methyl-4'-nitro-m-propionotoluidide|Eulexin|Eulexin®|Flutamid|Flutamida|Flutamide|Flutamidum|NFBA|niftolid|Niftolid|Niftolide|SCH-13521|FTA"
Basiliximab,Ig gamma-1 chain C region|CHI-621|chimeric mouse-human antiCD25|SDZ-CHI-621|CHI621
oxacillin,"(2S,5R,6R)-3,3-Dimethyl-6-{[(5-methyl-3-phenylisoxazol-4-yl)carbonyl]amino}-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|(5-Methyl-3-phenyl-4-isoxazolyl)penicillin|5-Methyl-3-phenyl-4-isoxazolyl-penicillin|6beta-(5-Methyl-3-phenylisoxazol-4-yl)penicillanic acid|Bactocill|Oxacilina|Oxacillin|Oxacilline|Oxacillinum|Oxazocillin|Oxazocilline"
clomiphene,"2-(4-(2-chloro-1,2-diphenylethenyl)phenoxy)-N,N-diethylethanamine|2-(p-(2-chloro-1,2-diphenylvinyl)phenoxy)triethylamine|2-(p-(β-chloro-α-phenylstyryl)phenoxy)triethylamine|Androxal®|clomifene|Clomifene|Clomifeno|Clomifenum|Clomiphene"
(2R)-daptomycin,daptomycin|LY 146032|N-decanoyl-L-tryptophyl-L-asparaginyl-L-aspartyl-L-threonylglycyl-L-ornithyl-L-aspartyl-D-alanyl-L-aspartylglycyl-D-seryl-threo-3-methyl-L-glutamyl-3-anthraniloyl-L-alanine 1.13-3.4-lactone|N-decanoyl-L-tryptophyl-L-asparaginyl-L-aspartyl-L-threonylglycyl-L-ornithyl-L-aspartyl-D-alanyl-L-aspartylglycyl-D-seryl-threo-3-methyl-L-glutamyl-3-anthraniloyl-L-alanine epsilon(1)-lactone|CBC134
amisulpride,(±)-amisulpride|4-Amino-N-((1-ethyl-2-pyrrolidinyl)methyl)-5-(ethylsulfonyl)-2-methoxybenzamide|4-Amino-N-((1-ethyl-2-pyrrolidinyl)methyl)-5-(ethylsulfonyl)-o-anisamide|Aminosultopride
esmolol,(±)-esmolol|(±)-methyl p-(2-hydroxy-3-(isopropylamino)propoxy)hydrocinnamate|3-[4-(2-Hydroxy-3-isopropylamino-propoxy)-phenyl]-propionic acid methyl ester|Brevibloc®|Esmolol|Methyl 4-(2-hydroxy-3-((1-methylethyl)amino)propoxy)benzenepropanoate|methyl p-(2-hydroxy-3-(isopropylamino)propoxy)hydrocinnamate|SL-8052
clemastine,(+)-(2R)-2-(2-(((R)-p-chloro-alpha-methyl-alpha-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine|(+)-(2R)-2-(2-(((R)-p-chloro-α-methyl-α-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine|(+)-(2R)-2-[2-[[(R)-p-chloro-alpha-methyl-alpha-phenylbenzyl]oxy]ethyl]-1-methylpyrrolidine|(+)-(2R)-2-[2-[[(R)-p-chloro-α-methyl-α-phenylbenzyl]oxy]ethyl]-1-methylpyrrolidine|Clemastina|Clemastine|Clemastinum|HS-592|meclastin|Meclastin|Tavegil®|Tavist®
phentermine,"Adipex-P®|alpha,alpha-Dimethylphenethylamine|Fentermina|Ionamin®|Phentermine|phentermine hydrochloride|Phentermine resin|Phenterminum|α,α-dimethylphenethylamine"
mebeverine,Colofac®|CSAG-144|Duspatalin®
atovaquone,"Mepron|2-(trans-4-(P-Chlorophenyl)cyclohexyl)-3-hydroxy-1,4-naphthoquinone|566C|566C80|Acuvel|Atovaquone|Wellvone"
dibasic sodium phosphate,"anhydrous dibasic sodium phosphate|dibasic sodium phosphate|Dibasic sodium phosphate anhydrous|Dibasic sodium phosphate, anhydrous|disodium acid orthophosphate|Disodium acid phosphate|Disodium hydrogen monophosphate|Disodium hydrogen phosphate|Disodium hydrogen phosphate, anhydrous|disodium hydrogenphosphate|disodium monohydrogen phosphate|disodium orthophosphate|Disodium phosphate|E339ii|Na2HPO4|Phosphoric acid, disodium salt, anhydrous|Phosphoric acid, sodium salt (1:2)|Secondary sodium phosphate|sodium phosphate dibasic|Sodium phosphate dibasic anhydrous|Sodium phosphate, dibasic|Sodium phosphate, dibasic anhydrous|Sodium phosphate, dibasic, anhydrous|Sodium phosphate,dibasic,anhydrous"
rimonabant,A 281|Acomplia®|Rimonabant|SR 141716
carvedilol,Carvedilol|(+-)-1-(carbazol-4-yloxy)-3-((2-(o-methoxyphenoxy)ethyl)amino)-2-propanol|(+-)-1-(Carbazol-4-yloxy)-3-((2-(O-methoxyphenoxy)ethyl)amino)-2-propanol|Carvedilolum|DQ 2466|SKF 105517
bromocriptine,"PLO154|(5'alpha)-2-bromo-12'-hydroxy-2'-(1-methylethyl)-5'-(2-methylpropyl)-3',6',18-trioxoergotaman|(5'alpha)-2-bromo-12'-hydroxy-2'-(1-methylethyl)-5'-(2-methylpropyl)ergotaman-3',6',18-trione|(5'alpha)-2-bromo-12'-hydroxy-5'-isobutyl-2'-isopropyl-3',6',18-trioxoergotaman|2-bromo-alpha-ergocryptine|2-Bromo-alpha-ergocryptine|2-bromo-alpha-ergokryptin|2-Bromo-alpha-ergokryptin|2-bromo-alpha-ergokryptine|2-Bromo-alpha-ergokryptine|2-bromo-α-ergocryptine|2-bromo-α-ergokryptin|2-bromo-α-ergokryptine|2-bromoergocryptine|Bromocriptina|Bromocriptine|Bromocriptinum|bromocryptine|Bromocryptine|bromoergocriptine|Bromoergocriptine|Bromoergocryptine|CB-154|Parlodel®"
naftifine,Naftin|(E)-N-cinnamyl-N-methyl-1-naphthalenemethylamine|Naftifin|Naftifina|Naftifine|Naftifinum|trans-N-cinnamyl-N-methyl-(1-naphthylmethyl)amine
sotalol,4'-(1-hydroxy-2-(isopropylamino)ethyl)methane sulfonanilide|4'-(1-Hydroxy-2-(isopropylamino)ethyl)methane sulfonanilide|beta-cardone|Betapace®|MJ-1999|Sotalol|Sotalolo|Sotalolum
prilocaine,2-(Propylamino)-o-propionotoluidide|2-(Propylamino)-O-propionotoluidide|2-Methyl-alpha-propylaminopropionanilide|alpha-n-Propylamino-2-methylpropionanilide|alpha-N-Propylamino-2-methylpropionanilide|ASTRA 1512|L-67|N-(2-Methylphenyl)-2-(propylamino)propanamide|o-Methyl-2-propylaminopropionanilide|O-Methyl-2-propylaminopropionanilide|o-Methyl-alpha-propylaminopropionanilide|O-Methyl-alpha-propylaminopropionanilide|Prilocain|Prilocaina|Prilocaine|Prilocaïne|prilocaine base|Prilocaine base|Prilocainum|Prilotekal®|Propitocaine
telbivudine,LDT|Tyzeka|1-(2-Deoxy-beta-L-ribofuranosyl)-5-methyluracil|2'-Deoxy-L-thymidine|beta-L-2'-Deoxythymidine|Beta-l-thymidine|Epavudine|L-deoxythymidine|L-DT|L-thymidine|NV-02B|Telbivudin|Telbivudine|LDT600
bexarotene,"4-[1-(3,5,5,8,8-pentamethyltetralin-2-yl)ethenyl]benzoic acid|4-[1-(5,6,7,8,-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphtalenyl)ethenyl]benzoic acid|Bexaroten|Bexarotene|Bexarotène|Bexaroteno|Bexarotenum|LGD1069|p-(1-(5,6,7,8-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl)benzoic acid|P-(1-(5,6,7,8-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl)benzoic acid|p-[1-(5,6,7,8,-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl]benzoic acid|Targretyn|Targrexin|Targrexin®"
cilastatin,"(L)-7-(2-Amino-2-carboxy-ethylsulfanyl)-2-[(2,2-dimethyl-cyclopropanecarbonyl)-amino]-hept-2-enoic acid|(Z)-(S)-6-carboxy-6-[(S)-2,2-dimethylcyclopropanecarboxamido]hex-5-enyl-L-cysteine|(Z)-(S)-6-Carboxy-6-[(S)-2,2-dimethylcyclopropanecarboxamido]hex-5-enyl-L-cysteine|(Z)-7-((R)-2-Amino-2-carboxy-ethylsulfanyl)-2-[((S)-2,2-dimethyl-cyclopropanecarbonyl)-amino]-hept-2-enoic acid|Cilastatin|Cilastatina|Cilastatine|Cilastatinum|MK 0791|Primaxin®"
efalizumab,anti alphaL integrin|Anti-Cd11A|antiCD11 alpha|hu1124
glatiramer acetate,COP-1|Copaxone|Copolymer-1|Copoylmer 1
meprobamate,Equanil®|Meprobamat|Meprobamate|Meprobamato|Meprobamatum|Meprobamic acid|Meprospan®|Miltown®
ergocalciferol,"(5Z,7E,22E)-(3S)-9,10-secoergosta-5,7,10(19),22-tetraen-3-ol|22-Tetraen 3beta 9,10,Secoergosta-5,7,10(19)-ol|4-Methylene-3-[2-[tetrahydro-7a-methyl-1-(1,4,5-trimethyl-2-hexenyl)-4(3aH)-indanylidene]ethylidene]-Cyclohexanol|9,10-Secoergosta-5,7,10(19),22-tetraen-3b-ol|Activated ergosterol|beta-Ol|Buco-D|Calciferon 2|Condacaps|Condocaps|Condol|Crtron|Crystallina|D-Arthin|D-Tracetten|Daral|Davitamon D|Davitin|De-rat concentrate|Decaps|Dee-Osterol|Dee-Ron|Dee-Ronal|Dee-Roual|delta-Arthin|delta-Tracetten|Deltalin|Deratol|Detalup|Diactol|Divit urto|Doral|Drisdol|Ercalciol|Ergocalciferol|Ergocalciférol|Ergocalciferol oil|Ergocalciferolum|Ergorone|Ergosterol activated|Ergosterol irradiated|Ertron|Fortodyl|Geltabs|Hi-Deratol|Infron|Irradiated ergosta-5,7,22-trien-3beta-ol|Metadee|Mina D2|Mulsiferol|Mykostin|Novovitamin-D|Oleovitamin D|Oleovitamin D2|Osteil|Ostelin|Radiostol|Radsterin|Rodine C|Shock-ferol|Shock-ferol sterogyl|Sterogyl|Synthetic Vitamin D|Uvesterol D|Uvesterol-D|Vio D|Vio-D|Viostdrol|Viosterol|Viosterol in Oil|Vitamin D2|Vitamina D2|Vitavel-D|Radstein|Calciferol|(+)-Vitamin D2|(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidene-cyclohexan-1-ol|(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol|(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(E,1R,4R)-1,4,5-trimethylhex-2-enyl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylene-1-cyclohexanol|(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(E,1R,4R)-1,4,5-trimethylhex-2-enyl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylene-cyclohexan-1-ol|(1S,3Z)-3-{2-[(1R,3aS,4E,7aR)-1-[(2R,3E,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-octahydro-1H-inden-4-ylidene]ethylidene}-4-methylidenecyclohexan-1-ol|(3beta,5Z,7e,22e)-9,10-Secoergosta-5,7,10(19),22-tetraen-3-ol|(3β,5Z,7E,22E)-9,10-secoergosta-5,7,10(19),22-tetraen-3-ol|(5E,7E,22E)-9,10-Secoergosta-5,7,10,22-tetraen-3-ol|(5Z,7e,22e)-(3S)-9,10-Seco-5,7,10(19),22-ergostatetraen-3-ol|(5Z,7E,22E)-(3S)-9,10-seco-5,7,10(19),22-ergostatetraen-3-ol|(5Z,7e,22e)-(3S)-9,10-Secoergosta-5,7,10(19),22-tetraen-3-ol"
C1 Esterase Inhibitor (Human),"recombinant human C1 inhibitor|rvg-19303|c1 inhibitor|c1 inhibitor (human)|c1-inhibitor, plasma derived|cetor"
isoxicam,"4-hydroxy-2-methyl-N-(5-methyl-3-isoxazolyl)-2H-1,2-benzothiazine-3-carboxamide-1,1-dioxide|4-hydroxy-3-(5-methyl-3-isoxazolylcarbamoyl)-2-methyl-2H-1,2-benzothiazine 1,1-dioxide|BRN 0577221|EINECS 252-084-5|Isoxicam|Maxicam|N-(5-methyl-3-isoxazolyl)-4-hydroxy-2-methyl-2H-1,2-benzthiazine-3-carboxamide 1,1-dioxide|UNII-8XU734C4NG|W 8495|W-8495"
Podophyllin,Podophyllum resin
somatostatin,Somatostatin|SRIF-14|Ala-Gly-cyclo-[Cys-Lys-Asn-Phe-Phe-Trp-Lys-Thr-Phe-Thr-Ser-Cys]|growth hormone-inhibiting hormone (GHIH)|L-alanylglycyl-L-cysteinyl-L-lysyl-L-asparaginyl-L-phenylalanyl-L-phenylalanyl-L-tryptophyl-L-lysyl-L-threonyl-L-phenylalanyl-L-threonyl-L-seryl-L-cysteine cyclic (3-14) disulfide|Somatostatin-1|Somatostatin-14|Somatostatina|Somatostatine|Somatostatinum|somatotropin release-inhibiting factor (SRIF)|somatotropin release-inhibiting hormone|Synthetic growth hormone release-inhibiting hormone|Synthetic somatostatin-14
Asfotase Alfa,ALXN1215|ENB-0040
Technetium Tc 99m Mebrofenin,Mebrofenin|Choletec|Technetium (99mTc) mebrofenin|Technetium Tc-99M Mebrofenin
technetium tc-99m oxidronate,99mtc-HDP|Oxidronic acid 99mtc-complex|Technescan|TechneScan HDP|Technetium 99mtc oxidronate|Technetium Tc-99m oxidronate kit
Protamine sulfate,protamine sulfate|Protamine Sulfate|Protamine Sulphate
sonidegib,"Erismodegib|erismodegib (deleted INN)|LDE 225|LDE-225|LDE225|N-[6-(cis-2,6-dimethylmorpholin-4-yl)pyridin-3-yl]-2-methyl-4'-(trifluoromethoxy)[1,1'-biphenyl]-3-carboxamide|NVP-LDE 225|NVP-LDE225|Odomzo®|Sonidegib"
uridine triacetate,"2',3',5'-tri-O-acetyluridine|2',3',5'-Triacetyluridine|PN 401|PN401|RG 2133|Tri-O-acetyluridine|Triacetyl uridine|Triacetyluridine|Uridine 2',3',5'-triacetate|Uridine triacetate|Vistonuridine"
trisodium citrate dihydrate,"2-hydroxy-1,2,3-propanetricarboxylic acid trisodium salt dihydrate|Sodium citrate hydrate"
tetraferric tricitrate decahydrate,Ferric citrate hydrate|KRX-0502|Tetraferric tricitrate decahydrate
Technetium Tc-99m exametazime,Technetium (99mTc) exametazime
Technetium Tc-99m disofenin,Technetium Tc 99m Disofenin
Technetium Tc-99m pyrophosphate,echnetium TC 99M Pyrophosphate
limaprost,Limaprost|Limaprost alfadex
Fibrinogen Concentrate (Human),Factor I|Coagulation Factor I
gimeracil,"5-Chloro-2,4-dihydroxypyridine|5-Chloro-4-hydroxy-2-pyridone|Gimeracil|gimestat|Teysuno|Ts-1 (TN)"
choline chloride c-11,[N-methyl-(11)C]choline chloride|11C-choline|11C-choline chloride|Choline C 11|Choline chloride C-11|Choline chloride C11
rolapitant,"(5S,8S)-8- { [(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]methyl]}-8-phenyl-1,7-diazaspiro[4.5]decan-2-one"
sodium iodide i-131,Sodium iodide I 131|Sodium iodide I131
talniflumate,BA-7602-06|Somalgen
idoxuridine,IDU|(+)-5-Iodo-2'-deoxyuridine|1-(2-Deoxy-beta-D-ribofuranosyl)-5-iodouracil|1-beta-D-2'-Deoxyribofuranosyl-5-iodouracil|1beta-D-2'-Deoxyribofuranosyl-5-iodouracil|2'-Deoxy-5-iodouridine|5-iodo-2'-deoxyuridine|5-Iododeoxyuridine|5-Iodouracil deoxyriboside|5IUDR|Allergan 211|Dendrid|Herplex|Idoxuridin|Idoxuridina|Idoxuridine|Idoxuridinum|IdU|Iododeoxyridine|Iodoxuridine|Joddeoxiuridin|SK&F-14287|Stoxil
dapagliflozin,"Dapagliflozin|(2S,3R,4R,5S,6R)-2-(4-Chloro-3-(4-ethoxybenzyl)phenyl)-6- (hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol|BMS-512148|Farxiga®|Forxiga®"
Pegaptanib,EYE 001|NX 1838|NX1838|Pegaptanib Octasodium|Pegaptanib sodium
talbutal,"(RS)-5-allyl-5-sec-butylpyrimidine-2,4,6(1H,3H,5H)-trione|5-allyl-5-sec-butylbarbituric acid|Lotusate|sec-Butyl allyl barbituric acid|Talbutal|Talbutale|Talbutalum"
nomifensine,"(+-)-nomifensin|(+-)-Nomifensin|(+-)-nomifensine|(+-)-Nomifensine|(+)-nomifensine|(+)-nomiphensine|(R)-1,2,3,4-Tetrahydro-2-methyl-4-phenyl-8-isoquinolinamine|2-Methyl-4-phenyl-1,2,3,4-tetrahydro-8-isoquinolinamine|2-Methyl-4-phenyl-1,2,3,4-tetrahydro-isoquinolin-8-ylamine|8-Amino-1,2,3,4-tetrahydro-2-methyl-4-phenylisochinolin|8-Amino-1,2,3,4-tetrahydro-2-methyl-4-phenylisoquinoline|8-Amino-2-methyl-4-phenyl-1,2,3,4-tetrahydroisoquinoline|Alival®|D,L-nomifensine|Merital®|Nomifenison|Nomifensin|Nomifensina|Nomifensine|Nomifensinum|Nomiphensine|R/S-nomifensine"
etizolam,"4-(o-Chlorophenyl)-2-ethyl-9-methyl-6H-thieno(3,2-f)-s-triazolo(4,3-a)(1,4)diazepine|Etilaam|Etizolam|Intas Etilaam"
rescinnamine,"3,4,5-Trimethoxycinnamoyl methyl reserpate|Rescinnamine|Trimethoxy cinnamoyl reserpate de methyl|Tsuruselpi S"
niacin,Nikotinsaeure|Nyclin|P.P. factor|pellagra preventive factor|Pellagra preventive factor|Pellagrin|Pelonin|Peviton|PP factor|PP Factor|pyridine-3-carboxylic acid|pyridine-beta-carboxylic acid|Pyridine-beta-carboxylic acid|pyridine-β-carboxylic acid|Slo-niacin|Tinic|vitamin B3|Vitamin B3|vitamin PP|Wampocap|β-pyridinecarboxylic acid|Niacor|3-Carboxylpyridine|3-carboxypyridine|3-Picolinic acid|3-Pyridinecarboxylate|3-Pyridinecarboxylic acid|3-Pyridylcarboxylate|3-Pyridylcarboxylic acid|Acide Nicotinique|Acido nicotinico|Acidum Nicotinicum|Akotin|anti-pellagra vitamin|Anti-pellagra vitamin|Apelagrin|beta-pyridinecarboxylic acid|beta-Pyridinecarboxylic acid|Daskil|Efacin|Enduracin|Induracin|Linic|m-pyridinecarboxylic acid|M-Pyridinecarboxylic Acid|Niac|Niacin|Niacine|Nicacid|Nicamin|Nicangin|Nico-Span|Nicobid|Nicocap|Nicodelmine|Nicolar|Niconacid|Nicosan 3|nicotinate|Nicotinic Acid|Nicotinipca|Nicyl
amdinocillin pivoxil,"[(2,2-dimethylpropanoyl)oxy]methyl (2S,5R,6R)-6-[(azepan-1-ylmethylidene)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|Amdinocillin pivoxil|amdinocillin, pivaloyloxymethyl ester|Coactabs|Pivmecilinamo|Pivmecillinam|Pivmecillinamum|PMPC|Ro-109071"
pindolol,1-(1H-indol-4-yloxy)-3-(isopropylamino)propan-2-ol|1-(1H-indol-4-yloxy)-3-(propan-2-ylamino)-propan-2-ol|1-(1H-indol-4-yloxy)-3-[(1-methylethyl)amino]propan-2-ol|4-(2-hydroxy-3-isopropylaminopropoxy)-indole|betapindol|LB-46|Pindolol|Pindololum|Visken®|VKN646
dimethyl fumarate,"fumaric acid|(E)-But-2-enedioic acid dimethyl ester|1,2-bis(methoxycarbonyl)-trans-ethylene|BG-12|dimethyl (E) butenedioate|Dimethyl fumarate|Dimethyl trans-ethylenedicarboxylate|Fumaric acid, dimethyl ester|Tecfidera®|trans-1,2-Ethylenedicarboxylic acid dimethyl ester|trans-Butenedioic acid dimethyl ester"
nebivolol,"1,1'-[bis(6-fluoro-3,4-dihydro-2H-1-benzopyran-2-yl)]-2,2'-iminodiethanol|1,1'-[Bis(6-fluoro-3,4-dihydro-2H-1-benzopyran-2-yl)]-2,2'-iminodiethanol|1,1'-bis(6-fluoro-3,4-dihydro-2H-1-benzopyran-2-yl)-2,2'-iminodiethanol|1,1'-Bis(6-fluoro-3,4-dihydro-2H-1-benzopyran-2-yl)-2,2'-iminodiethanol|alpha,alpha'-(iminobismethylene)bis-(6-fluoro-3,4-dihydro-2H-1-benzopyran-2-methanol)|alpha,alpha'-(iminodimethylene)bis-(6-fluoro-2-chromanmethanol)|Bystolic®|Narbivolol|Nebivolol|Nebivololum|R-65824|Ro-67555"
florantyrone,Florantyrone
Florbetapir (18F),"(18f)av-45|[18F]Florbetapir|18F-AV-45|18f-av45|18F-florbetapir|4-((1e)-2-(6-(2-(2-(2-(18f)fluoroethoxy)ethoxy)ethoxy)pyridin-3-yl)ethenyl)-n- methylbenzenamine|4-{(E)-2-[6-(2-{2-[2-(18F)fluoroethoxy]ethoxy}ethoxy)pyridin-3-yl]ethenyl}-N-methylaniline|av-45 f-18|benzenamine, 4-((1e)-2-(6-(2-(2-(2-(fluoro-18f)ethoxy)ethoxy)ethoxy)-3- pyridinyl)ethenyl)-n- methyl-|florbetapir (18f)|florbetapir f 18|Florbetapir F-18|Florbetapir F18|florbetapir-fluorine-18|florbetapir, f-18|florbetapir(18-f)"
floxuridine,5FDU|1-(2-Deoxy-beta-D-ribofuranosyl)-5-fluorouracil|1-beta-D-2'-Deoxyribofuranosyl-5-flurouracil|1beta-D-2'-Deoxyribofuranosyl-5-flurouracil|2'-Deoxy-5-fluorouridine|5-Fluoro-2-desoxyuridine|5-fluoro-2'-deoxyuridine|5-Fluorodeoxyuridine|5-Fluorouracil 2'-deoxyriboside|5-Fluorouracil deoxyriboside|beta-5-Fluoro-2'-deoxyuridine|Deoxyfluorouridine|FdU|floxidine|Floxiridina|Floxuridin|Floxuridine|Floxuridinum|Fluorodeoxyuridine|Fluoruridine deoxyribose|Fluoruridine Deoxyribose|FUDR®
flucloronide,Fluclorolone acetonide|Flucloronide
tolterodine,(+)-(R)-2-(alpha-(2-(Diisopropylamino)ethyl)benzyl)-p-cresol|(+)-Tolterodine|Detrol®|Detrusitol®|KABI-2234|Tolterodina|Tolterodine|Tolterodinum
tiotropium,Tiotropium
bacitracin a,"Albac 50|Baci-Rx|Baciferm 50|Baciguent|Baciim|Bacitracin a2a|Bacitracin F, 1-(N-((2-(1-amino-2-methylbutyl)-4,5-dihydro-4-thiazolyl)carbonyl)-L-leucine)-"
salmeterol,GR 33343X|Salmaterol|Salmeterol|Salmeterolum|Serevent®
terbutaline,Brethine®|Bricanyl®|KWD-2019|terbutalin|Terbutalin|Terbutalina|Terbutaline|Terbutaline (sulfate de)|Terbutalini sulfas|Terbutalinsulfat|Terbutalinum
paraldehyde,"Paraldehyde|1,3,5-trimethyl-2,4,6-trioxane|2,4,6-trimethyl-s-trioxane|acetaldehyde trimer|paraacetaldehyde|paracetaldehyde|Paral"
fluorouracil,"5-FU|Adrucil®|Carac®|Fluoro Uracil|Fluorouracil|Fluorouracilo|Fluorouracilum|Fluoruracil|Fluouracil|FU|5-Fluoracil|5-Fluoropyrimidine-2,4-dione|5-Fluorouracil|5-Fluracil"
oxitriptan,5-hydroxytryptophan|5-HTP|5-Hydroxy-L-Tryptophan|5-hydroxy-tryptophan|5-Hydroxytryptophan L-form|Cincofarm|Hydroxy-5 L-tryptophane|L-5-Hydroxytryptophan|Levothym|Oxitriptan|Tript-OH
mitoxantrone,"1,4-DIHYDROXY-5,8-bis({2-[(2-hydroxyethyl)amino]ethyl}amino)-9,10-anthracenedione|CL-232315|Mitoxantrona|Mitoxantrone|Mitoxantronum|Novantrone®"
amodiaquine,Amodiaquina|Amodiaquine|Amodiaquinum|Camoquin|Flavoquine|GNF-Pf-5648|SJ000110703
